zip,city,state_id,state_name,county_name
601,Adjuntas,PR,Puerto Rico,Adjuntas
602,Aguada,PR,Puerto Rico,Aguada
603,Aguadilla,PR,Puerto Rico,Aguadilla
606,Maricao,PR,Puerto Rico,Maricao
610,Anasco,PR,Puerto Rico,Añasco
612,Arecibo,PR,Puerto Rico,Arecibo
616,Bajadero,PR,Puerto Rico,Arecibo
617,Barceloneta,PR,Puerto Rico,Barceloneta
622,Boqueron,PR,Puerto Rico,Cabo Rojo
623,Cabo Rojo,PR,Puerto Rico,Cabo Rojo
624,Penuelas,PR,Puerto Rico,Peñuelas
627,Camuy,PR,Puerto Rico,Camuy
631,Castaner,PR,Puerto Rico,Lares
637,Sabana Grande,PR,Puerto Rico,Sabana Grande
638,Ciales,PR,Puerto Rico,Ciales
641,Utuado,PR,Puerto Rico,Utuado
646,Dorado,PR,Puerto Rico,Dorado
647,Ensenada,PR,Puerto Rico,Guánica
650,Florida,PR,Puerto Rico,Florida
652,Garrochales,PR,Puerto Rico,Arecibo
653,Guanica,PR,Puerto Rico,Guánica
656,Guayanilla,PR,Puerto Rico,Guayanilla
659,Hatillo,PR,Puerto Rico,Hatillo
660,Hormigueros,PR,Puerto Rico,Hormigueros
662,Isabela,PR,Puerto Rico,Isabela
664,Jayuya,PR,Puerto Rico,Jayuya
667,Lajas,PR,Puerto Rico,Lajas
669,Lares,PR,Puerto Rico,Lares
670,Las Marias,PR,Puerto Rico,Las Marías
674,Manati,PR,Puerto Rico,Manatí
676,Moca,PR,Puerto Rico,Moca
677,Rincon,PR,Puerto Rico,Rincón
678,Quebradillas,PR,Puerto Rico,Quebradillas
680,Mayaguez,PR,Puerto Rico,Mayagüez
682,Mayaguez,PR,Puerto Rico,Mayagüez
683,San German,PR,Puerto Rico,San Germán
685,San Sebastian,PR,Puerto Rico,San Sebastián
687,Morovis,PR,Puerto Rico,Morovis
688,Sabana Hoyos,PR,Puerto Rico,Arecibo
690,San Antonio,PR,Puerto Rico,Aguadilla
692,Vega Alta,PR,Puerto Rico,Vega Alta
693,Vega Baja,PR,Puerto Rico,Vega Baja
694,Vega Baja,PR,Puerto Rico,Vega Baja
698,Yauco,PR,Puerto Rico,Yauco
703,Aguas Buenas,PR,Puerto Rico,Aguas Buenas
704,Aguirre,PR,Puerto Rico,Salinas
705,Aibonito,PR,Puerto Rico,Aibonito
707,Maunabo,PR,Puerto Rico,Maunabo
714,Arroyo,PR,Puerto Rico,Arroyo
715,Mercedita,PR,Puerto Rico,Ponce
716,Ponce,PR,Puerto Rico,Ponce
717,Ponce,PR,Puerto Rico,Ponce
718,Naguabo,PR,Puerto Rico,Naguabo
719,Naranjito,PR,Puerto Rico,Naranjito
720,Orocovis,PR,Puerto Rico,Orocovis
723,Patillas,PR,Puerto Rico,Patillas
725,Caguas,PR,Puerto Rico,Caguas
727,Caguas,PR,Puerto Rico,Caguas
728,Ponce,PR,Puerto Rico,Ponce
729,Canovanas,PR,Puerto Rico,Canóvanas
730,Ponce,PR,Puerto Rico,Ponce
731,Ponce,PR,Puerto Rico,Ponce
735,Ceiba,PR,Puerto Rico,Ceiba
736,Cayey,PR,Puerto Rico,Cayey
738,Fajardo,PR,Puerto Rico,Fajardo
739,Cidra,PR,Puerto Rico,Cidra
740,Puerto Real,PR,Puerto Rico,Fajardo
741,Punta Santiago,PR,Puerto Rico,Humacao
745,Rio Grande,PR,Puerto Rico,Río Grande
751,Salinas,PR,Puerto Rico,Salinas
754,San Lorenzo,PR,Puerto Rico,San Lorenzo
757,Santa Isabel,PR,Puerto Rico,Santa Isabel
765,Vieques,PR,Puerto Rico,Vieques
766,Villalba,PR,Puerto Rico,Villalba
767,Yabucoa,PR,Puerto Rico,Yabucoa
769,Coamo,PR,Puerto Rico,Coamo
771,Las Piedras,PR,Puerto Rico,Las Piedras
772,Loiza,PR,Puerto Rico,Loíza
773,Luquillo,PR,Puerto Rico,Luquillo
775,Culebra,PR,Puerto Rico,Culebra
777,Juncos,PR,Puerto Rico,Juncos
778,Gurabo,PR,Puerto Rico,Gurabo
780,Coto Laurel,PR,Puerto Rico,Ponce
782,Comerio,PR,Puerto Rico,Comerío
783,Corozal,PR,Puerto Rico,Corozal
784,Guayama,PR,Puerto Rico,Guayama
786,La Plata,PR,Puerto Rico,Aibonito
791,Humacao,PR,Puerto Rico,Humacao
794,Barranquitas,PR,Puerto Rico,Barranquitas
795,Juana Diaz,PR,Puerto Rico,Juana Díaz
901,San Juan,PR,Puerto Rico,San Juan
906,San Juan,PR,Puerto Rico,San Juan
907,San Juan,PR,Puerto Rico,San Juan
909,San Juan,PR,Puerto Rico,San Juan
911,San Juan,PR,Puerto Rico,San Juan
912,San Juan,PR,Puerto Rico,San Juan
913,San Juan,PR,Puerto Rico,San Juan
915,San Juan,PR,Puerto Rico,San Juan
917,San Juan,PR,Puerto Rico,San Juan
918,San Juan,PR,Puerto Rico,San Juan
920,San Juan,PR,Puerto Rico,San Juan
921,San Juan,PR,Puerto Rico,San Juan
923,San Juan,PR,Puerto Rico,San Juan
924,San Juan,PR,Puerto Rico,San Juan
925,San Juan,PR,Puerto Rico,San Juan
926,San Juan,PR,Puerto Rico,San Juan
927,San Juan,PR,Puerto Rico,San Juan
934,Fort Buchanan,PR,Puerto Rico,Guaynabo
936,San Juan,PR,Puerto Rico,San Juan
949,Toa Baja,PR,Puerto Rico,Toa Baja
950,Toa Baja,PR,Puerto Rico,Dorado
951,Toa Baja,PR,Puerto Rico,Toa Baja
952,Sabana Seca,PR,Puerto Rico,Toa Baja
953,Toa Alta,PR,Puerto Rico,Toa Alta
956,Bayamon,PR,Puerto Rico,Bayamón
957,Bayamon,PR,Puerto Rico,Bayamón
959,Bayamon,PR,Puerto Rico,Bayamón
